Date,Joke,Comedian,jokeID
1/5/16,"According to a new poll, Donald Trump was the candidate Americans would least want to have as their neighbor. It makes sense because he'd build a massive wall between your yards and make you pay for it. ",Jimmy Fallon,42374-1
1/5/16,"On 'Face the Nation' yesterday, Donald Trump accused Ted Cruz of copying his immigration reform plan - specifically his idea of building a giant wall. Then China said, 'Ah, hello, I think we kind of invented that whole wall thing.'",Jimmy Fallon,42374-2
1/5/16,"In a recent interview on NPR's 'Morning Edition,' President Obama said the question he would want to ask candidates is why they want to be president. A few of the candidates actually responded. Check out whey they had to say here. Bernie Sanders says, 'I want to bring back more economic equality.' Ted Cruz said, 'I want to stop government overreach.' And Hillary Clinton said, 'I have a list of names.'",Jimmy Fallon,42374-3
1/5/16,"Donald Trump has released his first TV ad of the 2016 campaign, titled 'Great Again.' And Hillary Clinton has released her new ad TV, titled, 'Great, Again?'",Seth Meyers,42374-4
1/5/16,"Donald Trump said yesterday that if he is elected, he would probably not talk as much. That's right, if Donald Trump is elected, even he will be speechless.",Seth Meyers,42374-5
1/5/16,"Republican hopeful Carly Fiorina said on Sunday that Ted Cruz will say whatever he needs to say to win the election, and it's true. Just this morning, Ted Cruz said, 'Hi, I'm Hillary Clinton.'",Seth Meyers,42374-6
1/5/16,"After the calm of the holiday break, Republican candidates are aggressively ramping up their efforts to knock Trump off the top spot. The competition in Iowa is so fierce, in fact, that Texas Sen. Ted Cruz has leased a 48-bed dormitory from a Des Moines business college to house hundreds of volunteers. And I think it's safe to say, with RA Ted Cruz, that won't be the party dorm.",Seth Meyers,42374-7
1/5/16,"At a recent campaign stop, Hillary Clinton vowed, if elected, she will investigate UFOs and alien abductions. In response, Donald Trump vowed to deport the aliens back to space Mexico.",Stephen Colbert,42374-8
1/6/16,"In a recent interview, Hillary Clinton said that she would investigate UFOs if she becomes president. And said that even aliens have already visited the earth. Not to be outdone, Bill actually volunteered to be probed. ",Jimmy Fallon,42375-1
1/6/16,"Hillary Clinton said she would investigate UFOs and said that aliens may have already visited earth. When he heard that, Trump said, 'Forget the wall, we need a dome. Let's build a huge, beautiful dome, and make them pay for it. We'll make the aliens pay for the dome.'",Jimmy Fallon,42375-2
1/6/16,"In an NPR interview last week, Jeb Bush revealed the ingredients for his guacamole recipe, but wouldn't give away the specifics on how to prepare it. So, now I guess we have to elect Jeb Bush.",Jimmy Fallon,42375-3
1/6/16,"President Obama this afternoon said that guns should come with new safety devices, because if a kid can't open aspirin, they shouldn't be able to pull a trigger. And the gun lobby plans to cooperate by making aspirin bottles easier to open.",Seth Meyers,42375-4
1/6/16,"Fact-checkers are taking issue with Donald Trump's first campaign ad, released yesterday, which uses footage of people storming a border in Morocco, not Mexico, when discussing illegal immigration. Trump apologized and re-released the ad with new footage. [Meyers showed the ""new footage"" of shoppers trampling each other at a store entrance]",Seth Meyers,42375-5
1/6/16,"After being confronted yesterday by a homosexual protester on whether being gay is a choice, Dr. Ben Carson said that's a long conversation. Of course, for him, 'Hello, I'm Ben Carson' is a long conversation.",Seth Meyers,42375-6
1/7/16,"[Referring to North Korea's hydrogen bomb announcement] ""The White House today said the evidence?does not support their claim. But the North Korean government released a statement that said, 'Nothing is more foolish than dropping a hunting gun before herds of ferocious wolves.' Does that make any sense? What are wolves going to do with a gun?"" ",Jimmy Kimmel,42376-1
1/7/16,"Meanwhile, after they made the announcement, the people of North Korea were like, 'This is great. Now can we have food and shoes?'",Jimmy Kimmel,42376-2
1/7/16,I'm a little worried about Senator Sanders. He is currently trailing Hillary Clinton by 17 points. Americans have stopped feeling the Bern and are now feeling more of a mild chafing sensation.,Stephen Colbert,42376-3
1/7/16,"[Referring to President Obama's executive orders on guns] ""So, the President has gone through anger and way past bargaining, because yesterday he decided to go it alone, around the Congress, and issue a my-way-or-the-highway, balls-to-the-wall executive order 'clarifying existing laws' and 'noting that criminal penalties already exist for violating those laws.' Ka-boom! A fiery hailstorm of gentle reminders. It turns out, in this case, the President is less of a tyrannical overlord and more of an assistant lifeguard-in-chief.""",Stephen Colbert,42376-4
1/7/16,"At a rally in New Hampshire, Bernie Sanders mocked Donald Trump for thinking that climate change is a hoax created by the Chinese. So, at this point, most people are starting to feel like Trump is a hoax created by the Chinese.",Jimmy Fallon,42376-5
1/7/16,"North Korea announced yesterday that it had successfully carried out its first hydrogen bomb test. Either that, or they just got their first Chipotle.",Jimmy Fallon,42376-6
