Number of words,1917163
Number of unique words,15608
Average word frequency,122.832073
Entropy,6.701858

Word,Frequency,Proportion,Entropy Term
i,17010,0.008872,0.041921
feel,479,0.000250,0.002072
badly,51,0.000027,0.000280
for,17347,0.009048,0.042574
president,16253,0.008478,0.040441
clinton,7755,0.004045,0.022289
thats,6503,0.003392,0.019288
a,47710,0.024886,0.091914
tough,420,0.000219,0.001846
situation,175,0.000091,0.000849
there,4642,0.002421,0.014585
in,32469,0.016936,0.069070
hawaii,101,0.000053,0.000519
you,26098,0.013613,0.058491
know,11484,0.005990,0.030655
he,26336,0.013737,0.058900
sees,57,0.000030,0.000310
those,1544,0.000805,0.005738
women,738,0.000385,0.003027
grass,19,0.000010,0.000114
doesnt,1485,0.000775,0.005548
whether,239,0.000125,0.001121
to,48238,0.025161,0.092655
smoke,101,0.000053,0.000519
it,16333,0.008519,0.040598
or,2643,0.001379,0.009080
chase,16,0.000008,0.000098
letterman,12658,0.006602,0.033146
boy,715,0.000373,0.002944
people,5192,0.002708,0.016009
never,1137,0.000593,0.004407
miss,316,0.000165,0.001436
chance,314,0.000164,0.001428
make,1648,0.000860,0.006068
buck,16,0.000008,0.000098
hotel,217,0.000113,0.001028
connecticut,50,0.000026,0.000275
is,26483,0.013814,0.059151
auctioning,9,0.000005,0.000058
off,1699,0.000886,0.006229
the,91407,0.047678,0.145098
sheets,12,0.000006,0.000075
from,5516,0.002877,0.016834
bed,164,0.000086,0.000801
where,1768,0.000922,0.006445
stayed,70,0.000037,0.000373
during,1124,0.000586,0.004363
campaign,2049,0.001069,0.007312
isnt,1433,0.000747,0.005381
that,23927,0.012480,0.054709
gross,5,0.000003,0.000034
and,34814,0.018159,0.072792
new,7556,0.003941,0.021820
zealand,10,0.000005,0.000063
selling,217,0.000113,0.001028
michael,359,0.000187,0.001607
jackson,262,0.000137,0.001216
his,13076,0.006820,0.034019
world,1027,0.000536,0.004035
tour,271,0.000141,0.001253
good,3149,0.001643,0.010531
idea,772,0.000403,0.003148
creepy,57,0.000030,0.000310
about,8479,0.004423,0.023975
both,646,0.000337,0.002694
of,33905,0.017685,0.071360
these,1631,0.000851,0.006014
sets,23,0.000012,0.000136
are,8274,0.004316,0.023501
going,5323,0.002776,0.016344
be,9179,0.004788,0.025575
needed,85,0.000044,0.000444
as,6367,0.003321,0.018955
evidence,120,0.000063,0.000606
trial,241,0.000126,0.001129
leno,25435,0.013267,0.057346
answering,47,0.000025,0.000260
questions,294,0.000153,0.001347
psychic,22,0.000011,0.000131
q,19,0.000010,0.000114
can,3559,0.001856,0.011675
see,4463,0.002328,0.014114
whats,777,0.000405,0.003166
on,15025,0.007837,0.038001
other,2063,0.001076,0.007354
side,331,0.000173,0.001496
bridge,72,0.000038,0.000383
century,42,0.000022,0.000235
bill,2829,0.001476,0.009619
yes,417,0.000218,0.001834
now,8252,0.004304,0.023450
crossing,24,0.000013,0.000141
wait,570,0.000297,0.002414
hes,6823,0.003559,0.020066
halfway,61,0.000032,0.000329
across,256,0.000134,0.001191
stopped,198,0.000103,0.000948
middle,459,0.000239,0.001996
throwing,95,0.000050,0.000491
some,2669,0.001392,0.009156
files,25,0.000013,0.000147
marked,29,0.000015,0.000168
whitewater,58,0.000030,0.000315
over,3514,0.001833,0.011551
no,3521,0.001837,0.011570
oh,1816,0.000947,0.006595
my,2188,0.001141,0.007733
who,4638,0.002419,0.014574
will,4918,0.002565,0.015304
leave,357,0.000186,0.001599
white,3395,0.001771,0.011221
house,3802,0.001983,0.012341
next,1413,0.000737,0.005316
person,409,0.000213,0.001803
woman,939,0.000490,0.003733
by,5333,0.002782,0.016370
name,1148,0.000599,0.004443
shell,127,0.000066,0.000637
am,418,0.000218,0.001838
through,691,0.000360,0.002858
back,2339,0.001220,0.008185
door,165,0.000086,0.000806
with,10111,0.005274,0.027662
her,4143,0.002161,0.013262
panties,13,0.000007,0.000081
rolled,39,0.000020,0.000220
up,4721,0.002462,0.014791
left,557,0.000291,0.002366
week,2958,0.001543,0.009989
ago,676,0.000353,0.002803
saturday,226,0.000118,0.001066
bob,411,0.000214,0.001811
dole,243,0.000127,0.001137
appeared,132,0.000069,0.000660
night,2611,0.001362,0.008987
live,408,0.000213,0.001799
previous,39,0.000020,0.000220
was,17208,0.008976,0.042305
actually,2271,0.001185,0.007982
this,17056,0.008896,0.042010
program,331,0.000173,0.001496
down,2506,0.001307,0.008679
washington,1656,0.000864,0.006093
dc,492,0.000257,0.002122
like,7481,0.003902,0.021642
me,2028,0.001058,0.007248
ladies,552,0.000288,0.002347
gentlemen,424,0.000221,0.001861
beginning,102,0.000053,0.000524
get,4620,0.002410,0.014527
feeling,140,0.000073,0.000696
maybe,588,0.000307,0.002481
election,1126,0.000587,0.004370
tubby,22,0.000011,0.000131
bubba,22,0.000011,0.000131
vacationing,26,0.000014,0.000152
south,353,0.000184,0.001583
pacific,25,0.000013,0.000147
then,2748,0.001433,0.009385
australia,39,0.000020,0.000220
theyre,3168,0.001652,0.010585
criticizing,105,0.000055,0.000537
because,4578,0.002388,0.014417
claiming,162,0.000084,0.000793
vacation,388,0.000202,0.001721
took,772,0.000403,0.003148
him,4683,0.002443,0.014692
golf,202,0.000105,0.000965
pro,38,0.000020,0.000215
not,7505,0.003915,0.021699
true,962,0.000502,0.003812
believe,1105,0.000576,0.004299
looked,299,0.000156,0.001367
newspaper,116,0.000061,0.000588
saw,978,0.000510,0.003867
photos,111,0.000058,0.000565
its,8160,0.004256,0.023237
same,1060,0.000553,0.004147
entourage,10,0.000005,0.000063
always,650,0.000339,0.002709
travels,23,0.000012,0.000136
himself,615,0.000321,0.002581
three,1221,0.000637,0.004687
fry,14,0.000007,0.000086
couple,642,0.000335,0.002680
hookers,102,0.000053,0.000524
all,5453,0.002844,0.016675
very,2402,0.001253,0.008372
upset,429,0.000224,0.001881
been,3707,0.001934,0.012082
falsely,4,0.000002,0.000027
accused,230,0.000120,0.001083
illegal,434,0.000226,0.001900
fundraising,137,0.000071,0.000682
have,9017,0.004703,0.025207
read,584,0.000305,0.002466
comparing,30,0.000016,0.000173
alleged,44,0.000023,0.000245
atlanta,32,0.000017,0.000184
bomber,66,0.000034,0.000354
richard,93,0.000049,0.000482
jewell,7,0.000004,0.000046
odd,121,0.000063,0.000610
saying,1717,0.000896,0.006285
had,4706,0.002455,0.014752
nothing,562,0.000293,0.002385
do,4332,0.002260,0.013767
ridiculous,88,0.000046,0.000459
only,2477,0.001292,0.008594
thing,2140,0.001116,0.007588
has,8202,0.004278,0.023334
ever,1075,0.000561,0.004198
blown,16,0.000008,0.000098
first,3154,0.001645,0.010545
time,2958,0.001543,0.009989
history,383,0.000200,0.001702
presidential,1586,0.000827,0.005871
candidate,770,0.000402,0.003141
major,289,0.000151,0.001327
political,583,0.000304,0.002463
party,838,0.000437,0.003381
