Country,Demonym 1,Demonym 2
Afghanistan,Afghan,
Albania,Albanian,
Algeria,Algerian,
Andorra,Andorran,
Angola,Angolan,
Anguilla,Anguillan,
Antigua and Barbuda,Antiguans,Barbudans
Argentina,Argentine,
Armenia,Armenian,
Australia,Australian,Aussie
Austria,Austrian,
Azerbaijan,Azerbaijani,
The Bahamas,Bahamian,
Bahrain,Bahraini,
Bangladesh,Bangladeshi,
Barbados,Barbadian,Bajuns
Belarus,Belarusian,
Belgium,Belgian,
Belize,Belizean,
Benin,Beninese,
Bermuda,Bermudian,
Bhutan,Bhutanese,
Bolivia,Bolivian,
Bosnia and Herzegovina,Bosnian,Herzegovinian
Botswana,Motswana,Batswana
Brazil,Brazilian,
British Virgin Islands,British Virgin Islander,
Brunei,Bruneian,
Bulgaria,Bulgarian,
Burkina Faso,Burkinabe,
Burundi,Burundian,
Cambodia,Cambodian,
Cameroon,Cameroonian,
Canada,Canadian,
Cape Verde,Cape Verdian,Cape Verdean
Cayman Islands,Caymanian,
Central African Republic,Central African,
Chad,Chadian,
Chile,Chilean,
China,Chinese,
Christmas Island,Christmas Islander,
Cocos Islands (Keeling Islands),Cocos Islander,
Colombia,Colombian,
Comoros,Comoran,
"Congo, Republic of the",Congolese,
"Congo, Democratic Republic of the",Congolese,
Costa Rica,Costa Rican,
Cote d'Ivoire,Ivorian,
Croatia,Croat,
Cuba,Cuban,
Cyprus,Cypriot,
Czech Republic,Czech,
Denmark,Dane,
Djibouti,Djibouti,
Dominica,Dominican,
Dominican Republic,Dominican,
East Timor,East Timorese,
Ecuador,Ecuadorean,
Egypt,Egyptian,
El Salvador,Salvadoran,
England,English,British
Equatorial Guinea,Equatorial Guinean,Equatoguinean
Eritrea,Eritrean,
Estonia,Estonian,
Ethiopia,Ethiopian,
Falkland Islands (Islas Malvinas),Falkland Islander,
Fiji,Fijian,
Finland,Finn,
France,French,
French Guiana,French Guianese,
Gabon,Gabonese,
The Gambia,Gambian,
Georgia,Georgian,
Germany,German,
Ghana,Ghanaian,
Gibraltar,Gibraltarian,
Greece,Greek,
Greenland,Greenlander,
Grenada,Grenadian,Grenadan
Guadeloupe,Guadeloupean,
Guatemala,Guatemalan,
Guernsey,Channel Islander,
Guinea,Guinean,
Guinea-Bissau,Guinea-Bissauan,
Guyana,Guyanese,
Haiti,Haitian,
Honduras,Honduran,
Hong Kong,Hong Kong Chinese,Chinese
Hungary,Hungarian,
Iceland,Icelander,
India,Indian,
Indonesia,Indonesian,
Iran,Iranian,
Iraq,Iraqi,
Ireland,Irish,
Isle of Man,Manx,
Israel,Israeli,
Italy,Italian,
Jamaica,Jamaican,
Japan,Japanese,
Jordan,Jordanian,
Kazakhstan,Kazakhstani,
Kenya,Kenyan,
Kiribati,I-Kiribati,
"Korea, North",North Korean,
"Korea, South",South Korean,
Kuwait,Kuwaiti,
Kyrgyz Republic,Kyrgyz,
Laos,Lao,Laotian
Latvia,Latvian,
Lebanon,Lebanese,
Lesotho,Mosotho,
Liberia,Liberian,
Libya,Libyan,
Liechtenstein,Liechtensteiner,
Lithuania,Lithuanian,
Luxembourg,Luxembourger,
Macedonia,Macedonian,
Madagascar,Malagasy,
Malawi,Malawian,
Malaysia,Malaysian,
Maldives,Maldivan,
Mali,Malian,
Malta,Maltese,
Marshall Islands,Marshallese,
Martinique,Martiniquais,Martinican
Mauritania,Mauritanian,
Mauritius,Mauritian,
Mayotte,Mahorais,
Mexico,Mexican,
Federated States of Micronesia,Micronesian,
Moldova,Moldovan,
Monaco,Monegasque,Monacan
Mongolia,Mongolian,
Montserrat,Montserratian,
Morocco,Moroccan,
Mozambique,Mozambican,
Myanmar (Burma),Burmese,Myanmarese
Namibia,Namibian,
Nauru,Nauruan,
Nepal,Nepalese,
Netherlands,Netherlander,Dutch
Netherlands Antilles,Dutch Antillean,
New Zealand,New Zealander,Kiwi
Nicaragua,Nicaraguan,
Niger,Nigerien,
Nigeria,Nigerian,
Norway,Norwegian,
Oman,Omani,
Pakistan,Pakistani,
Palau,Palauan,
Palestine,Palestinian,
Panama,Panamanian,
Papua New Guinea,Papua New Guinean,
Paraguay,Paraguayan,
Peru,Peruvian,
Philippines,Filipino,
Poland,Pole,
Portugal,Portuguese,
Puerto Rico,Puerto Rican,American
Qatar,Qatari,
Reunion,Reunionese,
Romania,Romanian,
Russia,Russian,
Rwanda,Rwandan,
Saint Helena,Saint Helenian,
Saint Kitts and Nevis,Kittian and Nevisian,
Saint Lucia,Saint Lucian,
Saint Vincent and Grenadines,Saint Vincentian,Vincentian
Samoa,Samoan,
San Marino,Sammarinese,San Marinese
Sao Tome and Principe,Sao Tomean,
Saudi Arabia,Saudi,Saudi Arabian
Scotland,Scottish,British
Senegal,Senegalese,
Serbia and Montenegro,Serbian,Montenegrin
Seychelles,Seychellois,
Sierra Leone,Sierra Leonean,
Singapore,Singaporean,
Slovakia,Slovak,
Slovenia,Slovene,
Solomon Islands,Solomon Islander,
Somalia,Somali,
South Africa,South African,
Spain,Spaniard,
Sri Lanka,Sri Lankan,
Sudan,Sudanese,
Suriname,Surinamer,
Swaziland,Swazi,
Sweden,Swede,
Switzerland,Swiss,
Syria,Syrian,
Taiwan,Taiwanese,
Tajikistan,Tajik,Tadzhik
Tanzania,Tanzanian,
Thailand,Thai,
Togo,Togolese,
Tonga,Tongan,
Trinidad and Tobago,Trinidadian,Tobagonian
Tunisia,Tunisian,
Turkey,Turk,
Turkmenistan,Turkmen,
Tuvalu,Tuvaluan,
Uganda,Ugandan,
Ukraine,Ukrainian,
United Arab Emirates,Emirati,
United Kingdom,British,Brit
United States,American,
Uruguay,Uruguayan,
Uzbekistan,Uzbek,Uzbekistani
Vanuatu,Ni-Vanuatu,
Vatican City (Holy See),Citizen of the Holy See,
Venezuela,Venezuelan,
Vietnam,Vietnamese,
Virgin Islands,Virgin Islander,
Wales,Welsh,British
Yemen,Yemeni or Yemenite,
Zambia,Zambian,
Zimbabwe,Zimbabwean,
